Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,Document systems,
2,Page,,,,,,,,,,Page 1,
3,AWS Cloud,AWS Architecture 2019,2,,,,,,,,AWS Cloud,
4,Virtual Private Cloud,AWS Architecture 2019,2,3,,,,,,,Virtual Private Cloud,
5,Availability Zone,AWS Architecture 2019,2,3|4,,,,,,,Availability Zone us-east-1a,
6,Public Subnet,AWS Architecture 2019,2,3|4|5,,,,,,,Public Subnet,
7,Auto Scaling,AWS Architecture 2019,2,3|4|5|6,,,,,,,Auto Scaling,
8,Availability Zone,AWS Architecture 2019,2,3|4,,,,,,,Availability Zone us-east-1b,
9,Private Subnet,AWS Architecture 2019,2,3|4|5,,,,,,,Private Subnet,
10,Public Subnet,AWS Architecture 2019,2,3|4|8,,,,,,,Public Subnet,
11,Private Subnet,AWS Architecture 2019,2,3|4|8,,,,,,,Private Subnet,
12,Auto Scaling,AWS Architecture 2019,2,3|4|5|9,,,,,,,Auto Scaling,
13,Client,AWS Architecture 2019,2,,,,,,,,Huy Client,
14,VPC internet gateway,AWS Architecture 2017,2,3,,,,,,,internet gateway,
15,Router,AWS Architecture 2019,2,3|4,,,,,,,Router,
16,NAT gateway,AWS Architecture 2019,2,3|4|5|6,,,,,,,NAT gateway,
17,Amazon CloudFront,AWS Architecture 2019,2,3,,,,,,,Amazon CloudFront,
18,S3 bucket,AWS Architecture 2017,2,3,,,,,,,S3 (10 terabyte),
19,Amazon EC2,AWS Architecture 2019,2,3|4|5|6|7,,,,,,,Web server c7g.4xlarge,
20,Amazon Route 53,AWS Architecture 2019,2,3,,,,,,,Amazon Route 53,
21,Amazon EC2,AWS Architecture 2019,2,3|4|5|9|12,,,,,,,Application server c7g.4xlarge,
22,Amazon RDS,AWS Architecture 2019,2,3|4|5|9,,,,,,,Master DB db.m6g.8xlarge,
23,Load Balancing Application Load Balancer,AWS Architecture 2021,2,3|4,,,,,,,Load Balancing Application Load Balancer,
24,Amazon RDS,AWS Architecture 2019,2,3|4|8|11,,,,,,,Read replica db.m6g.8xlarge,
25,Text,Standard,2,3|4|5|6,,,,,,,Public Subnet 1 (10.0.10.0/24),
26,Text,Standard,2,3|4|8|10,,,,,,,Public Subnet 1 (10.0.11.0/24),
27,Text,Standard,2,3|4|5|9,,,,,,,Private Subnet 1 (10.0.20.0/24),
28,Text,Standard,2,3|4|8|11,,,,,,,Private Subnet 1 (10.0.21.0/24),
29,Line,,2,,,13,20,None,Arrow,,,
30,Line,,2,,,20,17,None,Arrow,,,
31,Line,,2,,,17,18,None,Arrow,,,
32,Line,,2,,,20,14,None,Arrow,,,
33,Line,,2,,,14,15,None,Arrow,,,
34,Line,,2,,,15,23,None,Arrow,,,
35,Line,,2,,,23,7,None,Arrow,,,
36,Line,,2,,,16,14,None,Arrow,,,
37,Line,,2,,,21,16,None,Arrow,,,
38,Line,,2,,,23,12,None,Arrow,,,
